Word,Length,Freq_HAL,Log_Freq_HAL,SUBTLWF,LgSUBTLWF,SUBTLCD,LgSUBTLCD,Ortho_N,Phono_N,Phono_N_H,OG_N,OG_N_H,Freq_N,Freq_N_P,Freq_N_PH,Freq_N_OG,Freq_N_OGH,Freq_Greater,Freq_G_Mean,Freq_Less,Freq_L_Mean,Freq_Rel,Concreteness_Rating,Semantic_Neighborhood_Density,Semantic_Neighbors,Semantic_Diversity,Age_Of_Acquisition,Body_Object_Interaction,Emotional_Valence,Emotional_Arousal,Emotional_Dominance,BG_Sum,BG_Mean,BG_Freq_By_Pos,Pron,NPhon,NSyll,MorphSp,MorphPr,NMorph,POS,I_Mean_RT,I_Zscore,I_SD,Obs,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Zscore,I_NMG_SD,I_NMG_Obs,I_NMG_Mean_Accuracy
chubby,6,512,6.238,4.18,2.33,1.35,2.057,0,4,4,0,0,,4.645,4.645,,,,,,,,3.76,0.385,0,1.66,7.78,3.13,4.33,4.88,5.11,"5,350","1,070.00","1,465","tS""V.bi",4,2,{chubby},"{tS""V.bi}",1,JJ,701.406,-0.362,199.326,27,0.97,691.556,-0.246,155.29,,1
church,6,"49,074",10.801,69.67,3.551,15.98,3.127,0,8,8,0,0,,6.426,6.426,,,,,,,,4.9,0.663,"7,410",1.557,5.15,4.148,5.21,3.63,5.04,"11,009","2,201.80","2,206","tS""3`tS",3,1,{church},"{tS""3`tS}",1,NN,612.469,-0.742,213.561,26,0.97,602.154,-0.483,74.69,,1
circular,8,"5,029",8.523,1.59,1.914,0.81,1.839,0,1,1,0,0,,8.251,8.251,,,,,,,,3.79,0.609,"3,327",1.819,7.68,1.792,5.47,3.4,5.25,"18,128","2,589.71","2,570","s""3`.kj@.l@`",7,3,{circul--ar},"{s""3`.kj@.l--@`}",2,JJ|NN,770.714,-0.274,283.437,27,1,691.519,-0.137,179.338,,1
clinic,6,"4,499",8.412,14,2.854,4.3,2.559,1,1,1,1,1,1.9,1.946,1.946,1.946,1.946,0,,1,1.9,4.32,4.24,0.587,"2,611",1.533,9.37,3.48,4.95,2.95,4.52,"29,058","5,811.60","3,020","kl""I.nIk",6,2,{clinic},"{kl""I.nIk}",1,NN,713.912,-0.366,344.738,26,1,613.769,-0.473,102.185,,1
clouds,6,"4,193",8.341,10.02,2.709,4.55,2.583,2,5,5,0,0,4.4,5.497,5.497,,,0,,2,4.4,1.87,,0.58,"1,610",1.47,3.63,,6.76,2.27,5.09,"9,458","1,891.60","1,719","kl""aUdz",5,1,{cloud}>s>,"{kl""aUd}>z>",2,NN|VB,608.853,-0.575,166.949,26,0.97,599.615,-0.564,114.316,,0.963
cloudy,6,"1,046",6.953,2.16,2.045,1.12,1.978,1,0,0,0,0,8.3,,,,,1,8.3,0,,0.83,4,0.41,0,1.629,5.5,1.222,4.89,3.36,3.65,"8,626","1,725.20","1,623","kl""aU4.i",5,2,{cloud}>y>,"{kl""aU4}.>i>",2,JJ,566.484,-0.658,103.363,29,0.94,602.345,-0.572,94.864,,1
cobra,5,"3,482",8.155,3.33,2.233,0.73,1.792,1,0,0,0,0,2.8,,,,,0,,1,2.8,2.94,5,0.564,650,1.611,7.47,3.826,4.42,5.71,3.74,"12,716","3,179.00","4,325","k""o.br@",5,2,{cobra},"{k""o.br@}",1,NN,645.848,-0.433,169.741,29,1,642.655,-0.442,246.819,,1
cockroach,9,280,5.635,3.41,2.243,1.34,2.053,0,0,0,0,0,,,,,,,,,,,4.96,0.319,0,1.362,6.25,4.038,2.46,5.22,3.57,"19,543","2,442.88","5,171","k""Ak.r%otS",6,2,{cock}{roach},"{k""Ak}.{r%otS}",2,NN,752.909,-0.018,295.995,25,1,682.12,-0.208,115.647,,1
coffee,6,"18,382",9.819,144.53,3.868,36.23,3.483,2,6,6,1,1,3.9,5.834,5.834,3.219,3.219,0,,2,3.9,2.51,4.81,0.626,"5,391",1.53,4.94,5.538,7,5.1,6.12,"8,894","1,778.80","3,929","k""O.fi",4,2,{coffee},"{k""O.fi}",1,NN,588.062,-0.625,115.577,28,0.97,587.179,-0.609,89.51,,1
cola,4,"1,736",7.459,5.53,2.452,0.66,1.748,10,16,20,7,11,7.1,5.619,5.588,7.353,7.071,3,8.8,7,6.4,1.05,4.79,0.546,0,1.371,4.33,5.565,5.67,4.29,6,"11,699","3,899.67","4,608","k""o.l@",4,2,{cola},"{k""o.l@}",1,NN,635.031,-0.372,247.304,27,0.94,600.852,-0.507,99.872,,1
cold,4,"34,854",10.459,130.16,3.822,41.83,3.545,16,40,44,12,12,8.2,6.328,6.173,8.695,8.695,4,11.4,12,7.1,1.27,3.85,0.662,"7,702",1.747,3.95,2.783,4.32,3.55,5.17,"8,100","2,700.00","4,381","k""old",4,1,{cold},"{k""old}",1,JJ|NN,505.909,-0.87,81.792,28,1,574.5,-0.665,75.667,,1
collie,6,"1,822",7.508,1.04,1.732,0.29,1.398,3,38,42,2,2,5,5.586,5.638,5.086,5.086,0,,3,5,1.5,4.77,0.37,0,0.895,7.05,5.731,6.8,3.68,5.79,"21,252","4,250.40","7,458","k""A.li",4,2,{collie},"{k""A.li}",1,NN,816.333,0.151,344.689,28,0.73,751.821,0.039,160.386,,1
comfortable,11,"16,317",9.7,47.22,3.382,21.02,3.247,1,0,0,0,0,7.6,,,,,0,,1,7.6,1.28,2.33,0.593,"3,030",1.823,7.17,2.52,7.67,2.38,6.89,"29,591","2,959.10","5,986","k""Vm.f@`4.@.bl=",9,4,{comfort}>able>,"{k""Vm.f@`4}.>@.bl=>",2,JJ,789.469,-0.24,411.963,28,0.97,658.857,-0.303,134.808,,1
conceptual,10,"2,150",7.673,0.24,1.114,0.12,1.041,0,0,0,0,0,,,,,,,,,,,1.26,0.577,"1,358",1.456,13.28,,,,,"28,218","3,135.33","6,838","k@n.s""Ep.tSu@l",10,3,{con--cept}>ual>,"{k@n-.-s""Ep.tS$}>u@l>",3,JJ,745.613,-0.208,175.763,26,0.94,762.269,0.119,151.49,,0.963
cool,4,"49,548",10.811,195.88,4,43.75,3.565,12,36,36,10,10,7.7,6.906,6.906,7.468,7.468,0,,12,7.7,1.41,3.53,0.622,"5,167",1.711,4.58,2.083,6.82,3.43,6.44,"9,336","3,112.00","4,379","k""ul",3,1,{cool},"{k""ul}",1,JJ|VB|NN,572.312,-0.753,214.316,29,0.94,596.448,-0.499,101.046,,1
corporate,9,"23,575",10.068,10.22,2.718,3.99,2.526,0,1,1,0,0,,6.657,6.657,,,,,,,,2.27,0.651,"6,739",1.568,10.84,,4.9,4.74,5.05,"40,464","5,058.00","8,988","k""Or.p@`.r@t",8,3,{corpor--ate},"{k""Or.p@`.r--@t}",2,JJ,680.97,-0.216,215.38,27,1,749.037,0.133,251.089,,1
cotton,6,"5,698",8.648,14.18,2.86,4.11,2.539,1,7,7,0,0,4.5,5.605,5.605,,,0,,1,4.5,1.93,4.97,0.622,"5,147",1.505,6,5.28,6.05,2.48,6.24,"19,259","3,851.80","5,721","k""A.tn=",4,2,{cotton},"{k""A.tn=}",1,NN|VB,559.147,-0.805,192.922,26,1,647.038,-0.349,148.662,,1
couch,5,"4,971",8.511,23.47,3.079,9.44,2.899,7,12,12,3,3,7.1,6.369,6.369,6.708,6.708,2,9.8,5,6,1.21,4.71,0.512,0,1.559,3.74,6.261,6.52,3.4,6.19,"12,584","3,146.00","5,158","k""aUtS",3,1,{couch},"{k""aUtS}",1,NN,696,-0.388,284.633,25,1,634.48,-0.449,106.792,,0.926
country,7,"106,711",11.578,161.84,3.917,39.32,3.518,0,0,0,0,0,,,,,,,,,,,4.17,0.689,"9,077",2.146,7.05,3.36,6.14,3.71,6.35,"21,207","3,534.50","5,875","k""Vn.tri",6,2,{country},"{k""Vn.tri}",1,NN,633.176,-0.57,210.955,25,1,630.24,-0.464,148.63,,1
cowboy,6,"2,826",7.947,18.98,2.986,5.75,2.684,0,0,0,0,0,,,,,,,,,,,4.72,0.577,"1,397",1.4,4.55,,5.43,4.43,5.67,"8,086","1,617.20","3,888","k""aU.b%OI",4,2,{cow}{boy},"{k""aU}.{b%OI}",2,NN,646.647,-0.495,224.28,27,1,618.111,-0.474,88.88,,1
crutch,6,592,6.384,1.31,1.833,0.63,1.732,4,6,6,3,3,6.2,6.441,6.441,5.83,5.83,3,7.9,1,1.4,1.02,4.5,0.251,0,1.565,7.21,5.8,3.64,3.67,4.08,"8,668","1,733.60","2,075","kr""VtS",4,1,{crutch},"{kr""VtS}",1,NN,766.303,-0.314,475.867,25,0.97,689.88,-0.133,145.938,,0.962
cults,5,"2,037",7.619,0.65,1.532,0.26,1.362,5,5,5,3,3,5,5.806,5.806,6.531,6.531,0,,5,5,1.53,,0.538,0,1.04,10.63,,,,,"6,983","1,745.75","1,458","k""Vlts",5,1,{cult}>s>,"{k""Vlt}>s>",2,NN,658.438,-0.523,208.476,26,0.97,675.269,-0.317,232.296,,1
curving,7,249,5.517,0.1,0.778,0.06,0.778,4,8,8,3,3,6.5,5.581,5.581,6.346,6.346,3,6.8,1,5.5,0.85,,0.493,0,1.572,7.52,,,,,"29,337","4,889.50","5,312","k""3`v.IN",5,2,{curve}>ing>,"{k""3`v}.>IN>",2,VB,733.581,-0.253,301.046,25,0.91,615.24,-0.467,116.249,,0.962
cute,4,"11,008",9.306,87.75,3.651,29.32,3.391,9,7,7,2,2,7.4,6.808,6.808,7.875,7.875,1,9.4,8,7.1,1.26,2.76,0.506,0,1.36,4.26,1.652,7.56,5.05,6.02,"11,690","3,896.67","2,202","kj""ut",4,1,{cute},"{kj""ut}",1,JJ|NN,582.788,-0.714,158.988,24,0.97,604.708,-0.517,76.855,,1
damp,4,"1,712",7.445,2.92,2.176,1.57,2.124,10,13,13,8,8,7.1,6.319,6.319,6.586,6.586,6,9,4,4.3,1.05,3.81,0.534,0,1.582,7.67,2.348,4.05,2.8,3.95,"4,681","1,560.33","1,610","d""amp",4,1,{damp},"{d""amp}",1,NN|VB|JJ,670.258,-0.518,211.412,28,0.94,596.536,-0.642,128.547,,1
dark,4,"71,249",11.174,88.61,3.655,31.34,3.42,11,11,11,8,8,7.8,7.774,7.774,7.806,7.806,1,11.5,10,7.5,1.43,4.29,0.663,"7,570",1.693,3.74,2.04,5.08,4.09,4.61,"7,710","2,570.00","2,739","d""Ark",4,1,{dark},"{d""Ark}",1,JJ|NN|RB,556.455,-0.768,184.755,26,1,555.423,-0.824,116.075,,1
deafening,9,"2,024",7.613,0.43,1.362,0.25,1.342,1,1,1,1,1,4.3,4.344,4.344,4.344,4.344,0,,1,4.3,1.75,,,,,,,,,,"43,318","5,414.75","8,135","d""Ef.n=.IN",6,3,{deaf}>en>>ing>,"{d""Ef}.>n=>.>IN>",3,VB|JJ,,,,,,,,,,
delicious,9,"2,481",7.816,21.53,3.041,10.18,2.932,1,0,0,0,0,5.6,,,,,0,,1,5.6,1.41,2.43,0.473,0,1.353,6.5,2.28,7.38,4.92,5.8,"31,491","3,936.38","5,412","dI.l""I.S@s",7,3,{delicious},"{dI.l""I.S@s}",1,JJ,753.606,-0.315,289.96,26,1,683.308,-0.3,160.153,,1
delighted,9,"2,284",7.734,12.94,2.82,6.01,2.703,0,5,5,0,0,,8.337,8.337,,,,,,,,2.86,0.536,0,1.863,8.11,,7.74,5,6.22,"34,150","4,268.75","5,895","dI.l""aI4.@d",7,3,{delight}>ed>,"{dI.l""aI4}.>@d>",2,VB,785.152,-0.165,332.114,27,1,623.37,-0.424,117.361,,1
depleted,8,870,6.768,0.76,1.602,0.41,1.544,1,0,0,0,0,4.4,,,,,0,,1,4.4,1.54,,,,,,,,,,"33,759","4,822.71","6,325","dI.pl""i4.@d",8,3,{de--plete}>ed>,"{dI-.-pl""i4}.>@d>",3,VB|JJ,,,,,,,,,,
destitute,9,255,5.541,0.71,1.568,0.39,1.532,0,0,0,0,0,,,,,,,,,,,2.08,0.431,0,1.548,11.43,,2.11,4.2,4.3,"50,328","6,291.00","7,237","d""E.st@.tut",8,3,{de--stitute},"{d""E-.-st@.tut}",2,JJ,904.321,0.31,391.692,22,0.88,811.091,0.268,313.337,,0.846
difficult,9,"52,555",10.87,60.16,3.487,25.25,3.326,0,0,0,0,0,,,,,,,,,,,2.21,0.677,"8,277",2.22,5.85,1.63,3.78,4.45,3.78,"15,957","1,994.63","3,366","d""I.f@.kl=t",7,3,{difficult},"{d""I.f@.kl=t}",1,JJ|NN,682.406,-0.383,259.464,29,0.94,632.103,-0.405,108.452,,1
dinner,6,"13,031",9.475,202.67,4.014,47.19,3.598,5,21,21,5,5,4.8,5.305,5.305,4.798,4.798,0,,5,4.8,1.97,4.5,0.614,"4,436",1.601,3.99,5.545,6.4,3.85,6.05,"37,622","7,524.40","6,276","d""I.n@`",4,2,{dinner},"{d""I.n@`}",1,NN,601.559,-0.667,174.893,28,0.94,604.607,-0.531,116.85,,1
dinosaurs,9,"2,024",7.613,2.67,2.137,1.04,1.944,0,0,0,0,0,,,,,,,,,,,,0.561,13,1.063,4.91,,,,,"31,410","3,926.25","4,025","d""aI.n@.sOrz",8,3,{dino--saur}>s>,"{d""aI.n@-.-sOr}>z>",3,NN,601.133,-0.503,130.688,27,0.97,669.037,-0.297,159.764,,0.964
dip,3,"5,047",8.527,7.96,2.61,3.78,2.502,19,29,29,15,15,8.2,7.981,7.981,8.136,8.136,8,9.9,11,7,1.04,4.22,0.513,0,1.886,7,4.536,5.42,3.35,5.2,"4,799","2,399.50","1,788","d""Ip",3,1,{dip},"{d""Ip}",1,NN|VB,565.938,-0.727,121.977,27,1,609.185,-0.531,118.92,,1
dirty,5,"14,094",9.554,66.45,3.53,24.56,3.314,1,13,13,1,1,5.7,6.095,6.095,5.663,5.663,0,,1,5.7,1.69,4.23,0.604,"3,835",1.771,4.55,1.81,3.17,5.05,5.05,"8,379","2,094.75","2,910","d""3`4.i",4,2,{dirt}>y>,"{d""3`4}.>i>",2,JJ|VB|NN,582.824,-0.68,138.647,27,0.97,640.63,-0.495,117.67,,1
doctor,6,"31,917",10.371,263.94,4.129,44.15,3.569,0,0,0,0,0,,,,,,,,,,,4.69,0.662,"7,581",1.296,4.6,5.68,5.93,4.05,4.69,"12,453","2,490.60","2,368","d""Ak.t@`",5,2,{doctor},"{d""Ak.t@`}",1,NN|VB,605.647,-0.684,186.077,27,1,539.704,-0.831,87.565,,1
dull,4,"4,644",8.443,12.08,2.79,5.58,2.671,15,32,32,9,9,8,8.124,8.124,7.212,7.212,8,9.5,7,6.2,1.06,2.37,0.557,3,1.864,8.05,1.792,3.4,1.67,4.71,"6,841","2,280.33","2,025","d""Vl",3,1,{dull},"{d""Vl}",1,JJ|VB,669.971,-0.498,357.511,27,1,616.889,-0.514,170.622,,1
durable,7,"2,234",7.712,0.35,1.279,0.21,1.279,2,0,0,0,0,3.2,,,,,0,,2,3.2,2.44,3.03,0.554,6,1.527,11.79,,,,,"20,274","3,379.00","3,201","d""U.r@.bl=",6,3,{dur--able},"{d""U.r--@.bl=}",2,JJ,698.094,-0.338,183.618,27,0.97,632.889,-0.384,105.287,,1
eagle,5,"6,845",8.831,11.49,2.769,3.33,2.447,1,5,5,0,0,6.2,7.961,7.961,,,0,,1,6.2,1.42,5,0.63,"5,641",1.528,5.83,3.739,6.47,4.57,5.09,"12,315","3,078.75","1,479","""i.gl=",3,2,{eagle},"{""i.gl=}",1,NN,630.788,-0.507,211.874,25,0.97,656.2,-0.199,143.461,,1
ears,4,"12,268",9.415,33.43,3.232,15.21,3.106,14,13,13,2,2,7.6,7.136,7.136,5.487,5.487,2,10.2,12,7.2,1.23,,0.576,"1,264",1.689,3.63,,,,,"13,013","4,337.67","2,676","""Irz",3,1,{ear}>s>,"{""Ir}>z>",2,NN,597.545,-0.547,149.267,25,0.97,594.08,-0.659,123.174,,1
economical,10,"2,301",7.741,0.33,1.255,0.18,1.204,0,1,1,0,0,,9.387,9.387,,,,,,,,2.22,0.568,853,1.911,11.56,,,,,"36,218","4,024.22","2,618","%i.k@.n""A.mIk.l=",9,5,{econom--ic}>al>,"{%i.k@.n""A.m--Ik}.>l=>",3,JJ,766.242,-0.044,266.066,24,0.94,853.208,0.443,300.775,,0.96
ecstatic,8,876,6.775,1.35,1.845,0.77,1.819,0,0,0,0,0,,,,,,,,,,,2.41,0.447,0,1.643,13.26,,6.45,6.95,5.63,"35,662","5,094.57","4,571","Ik.st""a.4Ik",8,3,{ecstat--ic},"{Ik.st""a.4--Ik}",2,JJ,915.552,0.277,331.28,20,0.85,853.45,0.472,222.32,,0.952
embryo,6,"1,557",7.351,0.76,1.602,0.31,1.431,0,0,0,0,0,,,,,,,,,,,4.61,0.538,0,1.043,11.68,,5.75,3.7,4.86,"5,238","1,047.60",820,"""Em.bri.o",6,3,{embryo},"{""Em.bri.o}",1,NN,758.633,-0.205,250.622,25,0.94,762.52,0.007,177.556,,1
emotional,9,"11,869",9.382,21.2,3.034,9.14,2.885,0,0,0,0,0,,,,,,,,,,,2,0.623,"5,033",1.601,9.45,,5.11,5.32,4.5,"36,187","4,523.38","3,754","I.m""o.Sn=.@l",7,4,{emote}>ion>>al>,"{I.m""o.S$}>n=>.>@l>",3,JJ,661.636,-0.499,238.637,25,1,675.16,-0.228,282.177,,0.962
enjoyable,9,"4,272",8.36,1.94,2,1.13,1.982,1,0,0,0,0,3.6,,,,,0,,1,3.6,2.3,2.04,0.487,0,1.729,8.44,,7.63,4.77,7,"18,910","2,363.75","1,539","In.dZ""OI@.bl=",7,3,<en<{joy}>able>,"<In<.{dZ""OI}>@.bl=>",3,JJ,765.029,-0.168,333.458,28,1,675.857,-0.344,174.331,,1
enormous,8,"7,583",8.934,10.31,2.722,5.05,2.628,0,0,0,0,0,,,,,,,,,,,2.9,0.634,"5,809",2.124,6.53,1.96,5.68,5.05,6,"23,755","3,393.57","2,240","I.n""Or.m@s",7,3,{enorm--ous},"{I.n""Or.m--@s}",2,JJ,785.467,-0.171,332.755,26,0.97,709.577,-0.09,187.893,,0.963
eraser,6,593,6.385,1,1.716,0.33,1.462,2,2,2,1,1,6.8,7.061,7.061,7.407,7.407,1,7.4,1,6.2,0.94,4.74,0.299,0,,4.95,5.792,5.64,3.57,6.89,"39,399","7,879.80","5,538","I.r""es.@`",5,3,{erase}>er>,"{I.r""es}.>@`>",2,NN,659.062,-0.496,220.447,28,0.94,663.179,-0.423,139.657,,1
even,4,"490,549",13.103,875.92,4.65,94.55,3.899,7,10,10,3,3,7.2,7.793,7.793,7.82,7.82,0,,7,7.2,1.81,2.79,0.701,"9,682",2.253,6.371,1.591,,,,"11,535","3,845.00","1,043","""i.vn=",3,2,{even},"{""i.vn=}",1,RB|JJ|NN|VB,594.267,-0.701,268.747,27,0.91,625.37,-0.519,221.56,,1
excellent,9,"79,398",11.282,52.71,3.43,20.92,3.244,0,1,1,0,0,,8.223,8.223,,,,,,,,2.11,0.652,"6,828",1.965,7.37,,7.56,5.15,7.22,"30,658","3,832.25","4,549","""Ek.s@l.@nt",8,3,{excel}>ent>,"{""Ek.s@l$}.>@nt>",2,JJ|NN,682.636,-0.302,269.356,27,1,588.148,-0.572,105.84,,1
exhausting,10,443,6.094,2.18,2.049,1.23,2.017,0,3,3,0,0,,7.103,7.103,,,,,,,,2.48,0.369,0,1.75,,,,,,"47,868","5,318.67","5,825","Ig.z""Ost.IN",8,3,{exhaust}>ing>,"{Ig.z""Ost}.>IN>",2,VB,753.882,-0.381,309.006,28,1,712.893,-0.177,240.489,,1
exile,5,"2,654",7.884,1.86,1.982,0.79,1.826,1,2,2,0,0,5.7,3.052,3.052,,,0,,1,5.7,1.37,2.15,0.607,"3,582",1.614,11,,3.32,5.87,3.37,"11,003","2,750.75","2,193","""Ek.saIl",5,2,{exile},"{""Ek.saIl}",1,NN|VB,691.258,-0.349,182.88,25,0.91,564.08,-0.759,114.654,,1
experience,10,"234,638",12.366,60.55,3.49,23.74,3.299,1,0,0,0,0,4.1,,,,,0,,1,4.1,3.03,1.8,0.684,"8,915",2.04,8.95,,6.89,3.71,6.94,"40,334","4,481.56","6,977","Ik.sp""I.ri@ns",10,3,{experi--ence},"{Ik.sp""I.ri--@ns}",2,NN|VB,787.088,-0.28,420.031,28,1,703.643,-0.108,137.237,,1
extinct,7,"1,752",7.469,2.51,2.111,1.28,2.033,0,1,1,0,0,,8.102,8.102,,,,,,,,2.53,0.564,367,1.247,7.67,1.783,2.74,4.55,3.42,"29,506","4,917.67","3,304","Ik.st""INkt",8,2,{extinct},"{Ik.st""INkt}",1,JJ,669.548,-0.329,239.247,25,0.97,688.2,0,111.957,,0.926
fat,3,"29,356",10.287,79.43,3.608,24.39,3.311,21,33,33,16,16,8.6,8.342,8.342,8.617,8.617,6,10.8,15,7.7,1.2,4.52,0.616,"4,627",1.578,5.15,4.125,2.74,3.89,4,"9,088","4,544.00","1,639","f""at",3,1,{fat},"{f""at}",1,JJ|NN,581.061,-0.76,165.625,28,1,589.393,-0.542,185.351,,1
filthy,6,"3,126",8.048,16.43,2.924,7.08,2.775,0,1,1,0,0,,4.248,4.248,,,,,,,,3.53,0.413,0,1.563,7.17,2.08,3.42,4.65,4.46,"8,391","1,678.20","2,218","f""IlT.i",5,2,{filth}>y>,"{f""IlT}.>i>",2,JJ,744.242,-0.223,283.995,25,0.94,685.16,-0.193,158.794,,1
fish,4,"30,614",10.329,83.49,3.629,20.36,3.233,5,17,17,3,3,7.8,7.118,7.118,7.991,7.991,1,11.2,4,6.9,1.33,5,0.651,"6,757",1.395,4.05,5.593,6.42,3.33,6.08,"9,827","3,275.67","2,510","f""IS",3,1,{fish},"{f""IS}",1,NN|VB,574.71,-0.786,141.396,27,0.91,578.667,-0.649,93.835,,1
forest,6,"17,098",9.747,18.88,2.984,5.96,2.7,1,1,7,0,0,1.9,3.526,5.768,,,0,,1,1.9,5.01,4.76,0.657,"7,218",1.298,6.28,4.6,6.68,4.44,5.71,"34,807","6,961.40","4,895","f""O.r@st",6,2,{forest},"{f""O.r@st}",1,NN,699.333,-0.482,384.178,27,0.97,624.741,-0.471,117.801,,1
fork,4,"11,253",9.328,8.82,2.654,3.77,2.501,9,13,13,6,6,9.6,8.944,8.944,9.482,9.482,5,11,4,7.9,0.97,4.9,0.57,585,1.645,3.63,5.6,5.47,3.35,6.02,"6,824","2,274.67","2,384","f""Ork",4,1,{fork},"{f""Ork}",1,NN,650.394,-0.569,333.647,28,1,631.179,-0.544,140.48,,1
freezing,8,"3,109",8.042,13.33,2.833,6.37,2.728,1,4,4,1,1,2.4,4.13,4.13,2.398,2.398,0,,1,2.4,3.35,4.04,0.56,227,1.669,6.05,2.917,3.33,5.84,4.16,"34,759","4,965.57","6,323","fr""iz.IN",6,2,{freeze}>ing>,"{fr""iz}.>IN>",2,VB|NN,628.912,-0.574,247.975,27,0.97,629.222,-0.389,97.614,,1
fried,5,"3,167",8.061,10.16,2.715,4.8,2.606,6,15,15,6,6,8.1,7.641,7.641,8.086,8.086,3,9.4,3,6.7,1,4.11,0.576,1,1.319,7.47,,5.82,4.09,6.05,"19,144","4,786.00","2,323","fr""aId",4,1,{fry}>ed>,"{fr""aI}>d>",2,JJ|VB,705.967,-0.324,248.681,27,0.88,700.074,-0.195,258.997,,0.964
friendly,8,"17,486",9.769,26.04,3.123,11.75,2.994,0,0,0,0,0,,,,,,,,,,,2.32,0.643,"6,590",1.98,4.5,,7.84,4.27,7.6,"26,084","3,726.29","3,656","fr""End.li",7,2,{friend}>ly>,"{fr""End}.>li>",2,JJ,612.758,-0.609,170.421,28,1,617.036,-0.489,130.085,,1
frozen,6,"7,705",8.95,15.33,2.894,6.62,2.745,0,0,0,0,0,,,,,,,,,,,4.34,0.595,"2,985",1.746,5.604,2.56,,,,"13,553","2,710.60","3,264","fr""oz.n=",5,2,{froze}>en>,"{fr""oz}.>n=>",2,VB|JJ,577.812,-0.756,136.732,28,0.94,622.571,-0.438,90.011,,1
fruit,5,"10,728",9.281,21.73,3.045,8.52,2.855,0,6,6,0,0,,7.333,7.333,,,,,,,,4.81,0.617,"4,351",1.568,3.63,6,7,4.09,6.12,"7,101","1,775.25","1,769","fr""ut",4,1,{fruit},"{fr""ut}",1,NN,583.545,-0.727,164.859,27,0.97,595.63,-0.513,87.32,,1
full,4,"155,605",11.955,166.9,3.93,51.57,3.636,14,20,20,6,6,7.9,8.402,8.402,8.551,8.551,0,,14,7.9,1.51,3.59,0.696,"9,420",2.311,4.24,1.259,6,3.48,6.06,"6,989","2,329.67","2,022","f""Ul",3,1,{full},"{f""Ul}",1,JJ|RB,597.625,-0.578,194.362,28,0.94,638.393,-0.44,174.44,,1
funny,5,"36,714",10.511,218.18,4.046,55.54,3.668,7,19,19,6,6,6.3,6.528,6.528,5.983,5.983,0,,7,6.3,1.68,2.5,0.583,"1,841",1.534,5.47,,7.59,5.38,6.33,"5,215","1,303.75","1,331","f""Vn.i",4,2,{fun}>y>,"{f""Vn}.>i>",2,JJ,576.333,-0.723,119.694,29,1,590.897,-0.616,84.439,,1
furry,5,"3,524",8.167,2.39,2.09,1.23,2.017,3,12,12,0,0,8,6.164,6.164,,,1,8.5,2,7.7,1.02,3.96,0.415,0,1.548,5.72,2.542,6.63,3.7,5.26,"5,837","1,459.25","1,903","f""3`.i",3,2,{fur}>y>,"{f""3`}.>i>",2,JJ,694.241,-0.22,318.702,26,0.88,741.269,0.027,196.249,,0.963
gear,4,"15,326",9.637,16,2.912,6.66,2.748,13,35,35,9,9,9.1,8.035,8.035,9.589,9.589,8,10.7,5,6.4,1.06,4.28,0.617,"4,442",1.633,7.61,4.696,5.19,3.17,5.9,"11,480","3,826.67","2,325","g""Ir",3,1,{gear},"{g""Ir}",1,NN|VB,597.257,-0.636,208.592,26,1,635.462,-0.345,156.796,,0.963
gigantic,8,"1,445",7.276,3.73,2.281,1.91,2.207,0,0,0,0,0,,,,,,,,,,,2.57,0.559,9,1.691,6.64,1.952,5.35,5.89,5.54,"30,668","4,381.14","3,950","dZaI.g""an.4Ik",8,3,{gigantic},"{dZaI.g""an.4Ik}",1,JJ,694.853,-0.283,189.216,27,1,763.037,0.1,195.187,,0.964
good,4,"628,816",13.352,"2,610.14",5.124,99.14,3.92,10,13,13,3,3,8,8.365,8.365,8.085,8.085,0,,10,8,1.66,1.64,0.695,"9,599",2.196,3.55,2.143,7.89,3.66,6.41,"3,803","1,267.67","1,404","g""Ud",3,1,{good},"{g""Ud}",1,JJ|NN|RB,632.613,-0.621,279.442,28,0.91,634.143,-0.565,205.338,,1
gorgeous,8,"3,391",8.129,24.06,3.089,10.6,2.949,0,1,1,0,0,,4.977,4.977,,,,,,,,2.25,0.488,0,1.497,7.68,1.48,7.57,4.92,7.05,"16,120","2,302.86","3,187","g""Or.dZ@s",6,2,{gorgeous},"{g""Or.dZ@s}",1,JJ,647.281,-0.398,162.617,27,0.94,695.111,-0.067,201.7,,1
grass,5,"7,354",8.903,16.78,2.933,6.56,2.741,9,14,14,4,4,7.9,8.124,8.124,8.708,8.708,3,9.5,6,7.1,1.13,4.93,0.611,"4,095",1.565,3.94,5.455,6.47,3.39,5.67,"14,351","3,587.75","3,052","gr""as",4,1,{grass},"{gr""as}",1,NN|VB,563.235,-0.728,113.757,27,1,614,-0.561,115.648,,1
gray,4,"12,665",9.447,21.12,3.033,6.43,2.732,11,11,14,6,9,7.6,7.578,7.734,6.902,7.266,1,9.4,10,7.5,1.24,3.46,0.647,"6,767",,5.74,1.538,3.68,2.81,4.77,"8,349","2,783.00","2,330","gr""e",3,1,{gray},"{gr""e}",1,JJ|NN|VB,567.676,-0.71,140.422,28,1,621.929,-0.508,151.709,,1
